Rank,University,Town
118,Portland State University,Portland
119,Tulane University,New Orleans
120,Stony Brook University,Stony Brook
121,The University of Texas at Dallas,Richardson
122,Baylor University,Waco
123,The University of Tennessee at Martin,Martin
124,"University at Albany, State University of New York",Albany
125,San José State University,San Jose
126,"University of Nevada, Reno",Reno
127,Mississippi State University,Mississippi State
128,San Francisco State University,San Francisco
129,University of Alabama at Birmingham,Birmingham
130,University of North Carolina at Charlotte,Charlotte
131,Brandeis University,Waltham
132,Southern Methodist University,Dallas
133,"California State University, Northridge",Northridge
134,Liberty University,Lynchburg
135,Northern Illinois University,DeKalb
136,Texas Tech University,Lubbock
137,College of William & Mary,Williamsburg
138,University of Wisconsin-Milwaukee,Milwaukee
139,University of Denver,Denver
140,"California Polytechnic State University, San Luis Obispo",San Luis Obispo
141,Marquette University,Milwaukee
142,Kent State University,Kent
143,DePaul University,Chicago
144,Loyola University Chicago,Chicago
145,Michigan Technological University,Houghton
146,Florida Atlantic University,Boca Raton
147,Montana State University,Bozeman
148,"University of Nevada, Las Vegas",Las Vegas
149,Kansas State University,Manhattan
150,Santa Clara University,Santa Clara
151,Northern Arizona University,Flagstaff
152,University of Rhode Island,Kingston
153,New Mexico State University,Las Cruces
154,The University of Texas MD Anderson Cancer Center,Houston
155,University of Idaho,Moscow
156,University of Louisville,Louisville
157,Oregon Health & Science University,Portland
158,Southern New Hampshire University,Manchester
159,Quinnipiac University,Hamden
160,"Binghamton University, State University of New York",Vestal
161,United States Military Academy,West Point
162,University of Mississippi,University
163,Swarthmore College,Swarthmore
164,Western Michigan University,Kalamazoo
165,Saint Louis University,St. Louis
166,Middle Tennessee State University,Murfreesboro
167,University of Wyoming,Laramie
168,Wake Forest University,Winston-Salem
169,Lehigh University,Bethlehem
170,Indiana University-Purdue University Indianapolis,Indianapolis
171,Texas State University,San Marcos
172,The New School,New York City
173,The University of Texas at Arlington,Arlington
174,University of Missouri-Kansas City,Kansas City
175,Illinois Institute of Technology,Chicago
176,Bowling Green State University,Bowling Green
177,James Madison University,Harrisonburg
178,Old Dominion University,Norfolk
179,"University of Maryland, Baltimore",Baltimore
180,Worcester Polytechnic Institute,Worcester
181,"California State University, Fullerton",Fullerton
182,University of Richmond,Richmond
183,"California State University, Long Beach",Long Beach
184,The University of Maine,Orono
185,The University of Texas at San Antonio,San Antonio
186,Williams College,Williamstown
187,University of Montana,Missoula
188,Nova Southeastern University,Fort Lauderdale
189,Grand Canyon University,Phoenix
190,Southern Illinois University Carbondale,Carbondale
191,Middlebury College,Middlebury
192,University of Massachusetts Boston,Boston
193,University of Alaska Fairbanks,Fairbanks
194,Ohio University,Athens
195,"California State University, Chico",Chico
196,Grand Valley State University,Allendale
197,Western Washington University,Bellingham
198,Appalachian State University,Boone
199,The University of Texas at El Paso,El Paso
200,The University of Memphis,Memphis
201,Kennesaw State University,Kennesaw
202,Pace University,New York City
203,Baylor College of Medicine,Houston
204,Villanova University,Villanova
205,Smith College,Northampton
206,Wesleyan University,Middletown
207,Carleton College,Northfield
208,University of North Carolina at Greensboro,Greensboro
209,Marist College,Poughkeepsie
210,Howard University,Washington
211,College of Charleston,Charleston
212,Boise State University,Boise
213,New Jersey Institute of Technology,Newark
214,University of Dayton,Dayton
215,Illinois State University,Normal
216,The Catholic University of America,Washington
217,East Carolina University,Greenville
218,University of Massachusetts Lowell,Lowell
219,"California State Polytechnic University, Pomona",Pomona
220,University of San Francisco,San Francisco
221,Pepperdine University,Malibu
222,University of San Diego,San Diego
223,"California State University, Sacramento",Sacramento
224,Berklee College of Music,Boston
225,Chapman University,Orange
226,University of Colorado Denver,Denver
227,Bryn Mawr College,Bryn Mawr
228,Embry-Riddle Aeronautical University,Daytona Beach
229,Ball State University,Muncie
230,University of Akron,Akron
231,University of Texas Southwestern Medical Center,Dallas
232,Vassar College,Poughkeepsie
